Concept,Attributes,Group
Sex by Educational Attainment for the Population 25 Years and Over (Native Hawaiian and Other Pacific Islander Alone),"C15002E_001EA,  C15002E_001M,  C15002E_001MA",C15002E
Sex by Educational Attainment for the Population 25 Years and Over (Some Other Race Alone),"C15002F_001EA,  C15002F_001M,  C15002F_001MA",C15002F
Sex by Educational Attainment for the Population 25 Years and Over (Two or More Races),"C15002G_001EA,  C15002G_001M,  C15002G_001MA",C15002G
"Sex by Educational Attainment for the Population 25 Years and Over (White Alone, Not Hispanic or Latino)","C15002H_001EA,  C15002H_001M,  C15002H_001MA",C15002H
Sex by Educational Attainment for the Population 25 Years and Over (Hispanic or Latino),"C15002I_001EA,  C15002I_001M,  C15002I_001MA",C15002I
Field of Bachelor's Degree for First Major for the Population 25 Years and Over,"C15010_001EA,  C15010_001M,  C15010_001MA",C15010
Field of Bachelor's Degree for First Major the Population 25 Years and Over (White Alone),"C15010A_001EA,  C15010A_001M,  C15010A_001MA",C15010A
Field of Bachelor's Degree for First Major the Population 25 Years and Over (Black or African American Alone),"C15010B_001EA,  C15010B_001M,  C15010B_001MA",C15010B
Field of Bachelor's Degree for First Major the Population 25 Years and Over (American Indian and Alaska Native Alone),"C15010C_001EA,  C15010C_001M,  C15010C_001MA",C15010C
Field of Bachelor's Degree for First Major the Population 25 Years and Over (Asian Alone),"C15010D_001EA,  C15010D_001M,  C15010D_001MA",C15010D
Field of Bachelor's Degree for First Major the Population 25 Years and Over (Native Hawaiian and Other Pacific Islander Alone),"C15010E_001EA,  C15010E_001M,  C15010E_001MA",C15010E
Field of Bachelor's Degree for First Major the Population 25 Years and Over (Some Other Race Alone),"C15010F_001EA,  C15010F_001M,  C15010F_001MA",C15010F
Field of Bachelor's Degree for First Major the Population 25 Years and Over (Two or More Races),"C15010G_001EA,  C15010G_001M,  C15010G_001MA",C15010G
"Field of Bachelor's Degree for First Major the Population 25 Years and Over (White Alone, Not Hispanic or Latino)","C15010H_001EA,  C15010H_001M,  C15010H_001MA",C15010H
Field of Bachelor's Degree for First Major the Population 25 Years and Over (Hispanic or Latino),"C15010I_001EA,  C15010I_001M,  C15010I_001MA",C15010I
Language Spoken at Home for the Population 5 Years and Over,"C16001_001EA,  C16001_001M,  C16001_001MA",C16001
Household Language by Household Limited English Speaking Status,"C16002_001EA,  C16002_001M,  C16002_001MA",C16002
Ratio of Income to Poverty Level in the Past 12 Months,"C17002_001EA,  C17002_001M,  C17002_001MA",C17002
Age by Number of Disabilities,"C18108_001EA,  C18108_001M,  C18108_001MA",C18108
Employment Status by Disability Status,"C18120_001EA,  C18120_001M,  C18120_001MA",C18120
Work Experience by Disability Status,"C18121_001EA,  C18121_001M,  C18121_001MA",C18121
Age by Disability Status by Poverty Status,"C18130_001EA,  C18130_001M,  C18130_001MA",C18130
Ratio of Income to Poverty Level in the Past 12 Months by Disability Status,"C18131_001EA,  C18131_001M,  C18131_001MA",C18131
Sex by Age by Veteran Status for the Civilian Population 18 Years and Over (White Alone),"C21001A_001EA,  C21001A_001M,  C21001A_001MA",C21001A
Sex by Age by Veteran Status for the Civilian Population 18 Years and Over (Black or African American Alone),"C21001B_001EA,  C21001B_001M,  C21001B_001MA",C21001B
Sex by Age by Veteran Status for the Civilian Population 18 Years and Over (American Indian and Alaska Native Alone),"C21001C_001EA,  C21001C_001M,  C21001C_001MA",C21001C
Sex by Age by Veteran Status for the Civilian Population 18 Years and Over (Asian Alone),"C21001D_001EA,  C21001D_001M,  C21001D_001MA",C21001D
Sex by Age by Veteran Status for the Civilian Population 18 Years and Over (Native Hawaiian and Other Pacific Islander Alone),"C21001E_001EA,  C21001E_001M,  C21001E_001MA",C21001E
Sex by Age by Veteran Status for the Civilian Population 18 Years and Over (Some Other Race Alone),"C21001F_001EA,  C21001F_001M,  C21001F_001MA",C21001F
Sex by Age by Veteran Status for the Civilian Population 18 Years and Over (Two or More Races),"C21001G_001EA,  C21001G_001M,  C21001G_001MA",C21001G
"Sex by Age by Veteran Status for the Civilian Population 18 Years and Over (White Alone, Not Hispanic or Latino)","C21001H_001EA,  C21001H_001M,  C21001H_001MA",C21001H
Sex by Age by Veteran Status for the Civilian Population 18 Years and Over (Hispanic or Latino),"C21001I_001EA,  C21001I_001M,  C21001I_001MA",C21001I
Age by Veteran Status by Poverty Status in the Past 12 Months by Disability Status for the Civilian Population 18 Years and Over,"C21007_001EA,  C21007_001M,  C21007_001MA",C21007
Sex by Age by Employment Status for the Population 16 Years and Over (White Alone),"C23002A_001EA,  C23002A_001M,  C23002A_001MA",C23002A
Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),"C23002B_001EA,  C23002B_001M,  C23002B_001MA",C23002B
Sex by Age by Employment Status for the Population 16 Years and Over (American Indian and Alaska Native Alone),"C23002C_001EA,  C23002C_001M,  C23002C_001MA",C23002C
Sex by Age by Employment Status for the Population 16 Years and Over (Asian Alone),"C23002D_001EA,  C23002D_001M,  C23002D_001MA",C23002D
Sex by Age by Employment Status for the Population 16 Years and Over (Native Hawaiian and Other Pacific Islander Alone),"C23002E_001EA,  C23002E_001M,  C23002E_001MA",C23002E
Sex by Age by Employment Status for the Population 16 Years and Over (Some Other Race Alone),"C23002F_001EA,  C23002F_001M,  C23002F_001MA",C23002F
Sex by Age by Employment Status for the Population 16 Years and Over (Two or More Races),"C23002G_001EA,  C23002G_001M,  C23002G_001MA",C23002G
"Sex by Age by Employment Status for the Population 16 Years and Over (White Alone, Not Hispanic or Latino)","C23002H_001EA,  C23002H_001M,  C23002H_001MA",C23002H
Sex by Age by Employment Status for the Population 16 Years and Over (Hispanic or Latino),"C23002I_001EA,  C23002I_001M,  C23002I_001MA",C23002I
Sex by Occupation for the Civilian Employed Population 16 Years and Over,"C24010_001EA,  C24010_001M,  C24010_001MA",C24010
Sex by Occupation for the Civilian Employed Population 16 Years and Over (White Alone),"C24010A_001EA,  C24010A_001M,  C24010A_001MA",C24010A
Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),"C24010B_001EA,  C24010B_001M,  C24010B_001MA",C24010B
Sex by Occupation for the Civilian Employed Population 16 Years and Over (American Indian and Alaska Native Alone),"C24010C_001EA,  C24010C_001M,  C24010C_001MA",C24010C
Sex by Occupation for the Civilian Employed Population 16 Years and Over (Asian Alone),"C24010D_001EA,  C24010D_001M,  C24010D_001MA",C24010D
Sex by Occupation for the Civilian Employed Population 16 Years and Over (Native Hawaiian and Other Pacific Islander Alone),"C24010E_001EA,  C24010E_001M,  C24010E_001MA",C24010E
Sex by Occupation for the Civilian Employed Population 16 Years and Over (Some Other Race Alone),"C24010F_001EA,  C24010F_001M,  C24010F_001MA",C24010F
Sex by Occupation for the Civilian Employed Population 16 Years and Over (Two or More Races),"C24010G_001EA,  C24010G_001M,  C24010G_001MA",C24010G
"Sex by Occupation for the Civilian Employed Population 16 Years and Over (White Alone, Not Hispanic or Latino)","C24010H_001EA,  C24010H_001M,  C24010H_001MA",C24010H
Sex by Occupation for the Civilian Employed Population 16 Years and Over (Hispanic or Latino),"C24010I_001EA,  C24010I_001M,  C24010I_001MA",C24010I
"Sex by Occupation for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","C24020_001EA,  C24020_001M,  C24020_001MA",C24020
Sex by Industry for the Civilian Employed Population 16 Years and Over,"C24030_001EA,  C24030_001M,  C24030_001MA",C24030
"Sex by Industry for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","C24040_001EA,  C24040_001M,  C24040_001MA",C24040
Industry by Occupation for the Civilian Employed Population 16 Years and Over,"C24050_001EA,  C24050_001M,  C24050_001MA",C24050
Occupation by Class of Worker for the Civilian Employed Population 16 Years and Over,"C24060_001EA,  C24060_001M,  C24060_001MA",C24060
Industry by Class of Worker for the Civilian Employed Population 16 Years and Over,"C24070_001EA,  C24070_001M,  C24070_001MA",C24070
Health Insurance Coverage Status by Age (White Alone),"C27001A_001EA,  C27001A_001M,  C27001A_001MA",C27001A
Health Insurance Coverage Status by Age (Black or African American Alone),"C27001B_001EA,  C27001B_001M,  C27001B_001MA",C27001B
Health Insurance Coverage Status by Age (American Indian and Alaska Native Alone),"C27001C_001EA,  C27001C_001M,  C27001C_001MA",C27001C
Health Insurance Coverage Status by Age (Asian Alone),"C27001D_001EA,  C27001D_001M,  C27001D_001MA",C27001D
Health Insurance Coverage Status by Age (Native Hawaiian and Other Pacific Islander Alone),"C27001E_001EA,  C27001E_001M,  C27001E_001MA",C27001E
Health Insurance Coverage Status by Age (Some Other Race Alone),"C27001F_001EA,  C27001F_001M,  C27001F_001MA",C27001F
Health Insurance Coverage Status by Age (Two or More Races),"C27001G_001EA,  C27001G_001M,  C27001G_001MA",C27001G
"Health Insurance Coverage Status by Age (White Alone, Not Hispanic or Latino)","C27001H_001EA,  C27001H_001M,  C27001H_001MA",C27001H
Health Insurance Coverage Status by Age (Hispanic or Latino),"C27001I_001EA,  C27001I_001M,  C27001I_001MA",C27001I
Employer-Based Health Insurance by Sex by Age,"C27004_001EA,  C27004_001M,  C27004_001MA",C27004
Direct-Purchase Health Insurance by Sex by Age,"C27005_001EA,  C27005_001M,  C27005_001MA",C27005
Medicare Coverage by Sex by Age,"C27006_001EA,  C27006_001M,  C27006_001MA",C27006
Medicaid/Means-Tested Public Coverage by Sex by Age,"C27007_001EA,  C27007_001M,  C27007_001MA",C27007
TRICARE/Military Health Coverage by Sex by Age,"C27008_001EA,  C27008_001M,  C27008_001MA",C27008
VA Health Care by Sex by Age,"C27009_001EA,  C27009_001M,  C27009_001MA",C27009
Health Insurance Coverage Status and Type by Work Experience,"C27012_001EA,  C27012_001M,  C27012_001MA",C27012
Private Health Insurance by Work Experience,"C27013_001EA,  C27013_001M,  C27013_001MA",C27013
Public Health Insurance by Work Experience,"C27014_001EA,  C27014_001M,  C27014_001MA",C27014
Health Insurance Coverage Status by Ratio of Income to Poverty Level in the Past 12 Months by Age,"C27016_001EA,  C27016_001M,  C27016_001MA",C27016
Private Health Insurance by Ratio of Income to Poverty Level in the Past 12 Months by Age,"C27017_001EA,  C27017_001M,  C27017_001MA",C27017
Public Health Insurance by Ratio of Income to Poverty Level in the Past 12 Months by Age,"C27018_001EA,  C27018_001M,  C27018_001MA",C27018
Health Insurance Coverage Status by Living Arrangement,"C27021_001EA,  C27021_001M,  C27021_001MA",C27021
